"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 17 17:39:47 CST 2020","Fri Apr 17 17:39:54 CST 2020","7084","TestCase.Meta","test_doris_manage","TestDoris","","","test_01_Update_Doris_DB","修改Doris DB 信息"
"passed","Fri Apr 17 17:33:42 CST 2020","Fri Apr 17 17:34:22 CST 2020","40326","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_15_Distcp_Recall"," 回溯操作成功，生成正确数量的dag"
"passed","Fri Apr 17 17:32:08 CST 2020","Fri Apr 17 17:32:55 CST 2020","47501","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_12_check_dagNode_kill","kill dagNode"
"passed","Fri Apr 17 17:35:19 CST 2020","Fri Apr 17 17:36:31 CST 2020","72353","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_16_Hive_Update_DispatchType","修改调度方式 版本加1"
"passed","Fri Apr 17 17:32:10 CST 2020","Fri Apr 17 17:32:46 CST 2020","35328","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_03_Check_version","创建check,校验版本"
"passed","Fri Apr 17 17:33:01 CST 2020","Fri Apr 17 17:33:26 CST 2020","24305","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_08_Update_Distcp_Name","作业更改名称,验证版本"
"passed","Fri Apr 17 17:37:49 CST 2020","Fri Apr 17 17:38:24 CST 2020","35121","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_06_Update_Workflow_Touch_DispatchMethond_And_Msg","修改workflow调度方式与通知"
"passed","Fri Apr 17 17:39:08 CST 2020","Fri Apr 17 17:39:26 CST 2020","18745","TestCase.Meta","test_doris_manage","TestDoris","","","test_01_Update_Doris_DB","成功创建Doris 表"
"passed","Fri Apr 17 17:37:08 CST 2020","Fri Apr 17 17:37:58 CST 2020","50016","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_12_spark_dagNode_kill","kill dagNode"
"passed","Fri Apr 17 17:40:36 CST 2020","Fri Apr 17 17:41:24 CST 2020","48499","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_02_CtrateChecks","一次创建多个check作业,校验信息"
"passed","Fri Apr 17 17:37:35 CST 2020","Fri Apr 17 17:38:41 CST 2020","66409","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_16_Spark_Create_Shell"," 运行使用shell新建的且设置有作业状态通知提醒的spark作业"
"passed","Fri Apr 17 17:35:43 CST 2020","Fri Apr 17 17:36:17 CST 2020","34115","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_01_CreateSpark","创建spark,校验信息"
"passed","Fri Apr 17 17:39:29 CST 2020","Fri Apr 17 17:39:53 CST 2020","23807","TestCase.Meta","test_data_struct","TestMetaStruct","","","test_02_CreateStruct","成功建表,验证字段, 参数对应正确"
"passed","Fri Apr 17 17:35:56 CST 2020","Fri Apr 17 17:36:26 CST 2020","29884","TestCase.Dispatch","test_dispatch_project","TestProject","","","test_04_Project_Auth","授权,校验信息"
"passed","Fri Apr 17 17:35:26 CST 2020","Fri Apr 17 17:35:35 CST 2020","9248","TestCase.Dispatch","test_dispatch_project","TestProject","","","test_01_Project_Create","创建项目并验证"
"passed","Fri Apr 17 17:45:14 CST 2020","Fri Apr 17 17:46:06 CST 2020","52591","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_14_spark_dagNode_set_dagnode_as_a_success","rerun dagNode"
"passed","Fri Apr 17 17:37:12 CST 2020","Fri Apr 17 17:37:41 CST 2020","29293","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_01_CreateHive","创建Job,校验信息"
"passed","Fri Apr 17 17:37:45 CST 2020","Fri Apr 17 17:38:15 CST 2020","30428","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_01_CreateTouch","创建check作业,校验信息"
"passed","Fri Apr 17 17:35:56 CST 2020","Fri Apr 17 17:36:37 CST 2020","41616","TestCase.Dispatch","test_dispatch_spark","TestSpark","","","test_04_Update_spark_Name_and_checkVersion","spark,重命名,未生成新版本"
"passed","Fri Apr 17 17:32:10 CST 2020","Fri Apr 17 17:32:48 CST 2020","37785","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_10_Check_manually_execution","workflow手动执行"
"passed","Fri Apr 17 17:32:57 CST 2020","Fri Apr 17 17:33:34 CST 2020","37382","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_04_Update_Distcp_Name_and_checkVersion","Distcp,重命名,未生成新版本"
"passed","Fri Apr 17 17:39:44 CST 2020","Fri Apr 17 17:40:05 CST 2020","20723","TestCase.Meta","test_data_struct","TestMetaStruct","","","test_06_Search","成功建表,搜索成功"
"passed","Fri Apr 17 17:37:52 CST 2020","Fri Apr 17 17:38:39 CST 2020","47162","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_02_CtrateTouchs","一次创建多个touch作业,校验信息"
"passed","Fri Apr 17 17:38:32 CST 2020","Fri Apr 17 17:39:21 CST 2020","49418","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_13_Touch_dagNode_rerun","rerun dagNode"
"passed","Fri Apr 17 17:32:58 CST 2020","Fri Apr 17 17:33:41 CST 2020","42345","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_05_Start_And_Stop_Distcp_Dispatch","验证启用Distcp调度"
"passed","Fri Apr 17 17:34:08 CST 2020","Fri Apr 17 17:34:51 CST 2020","43382","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_15_Check_Recall"," 回溯操作成功，生成正确数量的dag"
"passed","Fri Apr 17 17:32:56 CST 2020","Fri Apr 17 17:33:34 CST 2020","37849","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_07_Update_Distcp_Version","单个作业进行编辑,验证版本"
"passed","Fri Apr 17 17:39:14 CST 2020","Fri Apr 17 17:39:39 CST 2020","24814","TestCase.Meta","test_data_struct","TestMetaStruct","","","test_01_CreateStruct","成功建表,验证字段, 参数对应正确"
"passed","Fri Apr 17 17:38:40 CST 2020","Fri Apr 17 17:39:19 CST 2020","38845","TestCase.Dispatch","test_dispatch_touch","TestTouch","","","test_07_Update_Touch_Version","单个作业进行编辑,验证版本"
"passed","Fri Apr 17 17:33:03 CST 2020","Fri Apr 17 17:33:43 CST 2020","39901","TestCase.Dispatch","test_dispatch_distcp","TestDistcp","","","test_02_Ctrate_Distcps","一次创建多个distcp作业,校验信息"
"passed","Fri Apr 17 17:33:51 CST 2020","Fri Apr 17 17:34:27 CST 2020","36256","TestCase.Dispatch","test_dispatch_hive","TestHive","","","test_02_Check_Hive_version","首次创建hive,校验版本"
"passed","Fri Apr 17 17:36:06 CST 2020","Fri Apr 17 17:36:17 CST 2020","11643","TestCase.Dispatch","test_dispatch_project","TestProject","","","test_07_Workflow_Create","创建workflow,校验信息"
"passed","Fri Apr 17 17:32:09 CST 2020","Fri Apr 17 17:32:59 CST 2020","49292","TestCase.Dispatch","test_dispatch_check","TestCheck","","","test_14_check_dagNode_set_dagnode_as_a_success","rerun dagNode"
